zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
42 50 1 158.455 138.96 89.0568 295.327 19.6583 2039.22 16.8732 4022.91 14.3166 6246.4 11.9883 8709.68
42 55 1 134.809 137.97 75.7042 293.615 16.599 1905.38 14.2495 3739.84 12.0937 5797 10.1314 8076.87
42 60 1 116.077 136.999 65.1376 291.943 14.1984 1779.26 12.1897 3473.2 10.3473 5373.77 8.67108 7480.98
42 65 1 100.972 135.801 56.6286 287.526 12.2856 1687.26 10.5491 3277.48 8.95685 5058.18 7.50887 7029.37
42 70 1 89.0588 133.645 49.894 282.968 10.7291 1606.52 9.21313 3111.25 7.82357 4797.17 6.56037 6664.26
42 75 1 79.1758 131.529 44.3137 278.495 9.45162 1527.61 8.11692 2948.79 6.89382 4542.06 5.78231 6307.4
42 80 1 70.779 129.45 39.5827 274.105 8.38643 1452.4 7.20244 2794.14 6.11773 4299.32 5.13229 5967.95
42 85 1 63.5889 127.416 35.5388 269.634 7.48865 1387.24 6.43144 2658.02 5.4631 4081.96 4.58363 5659.06
42 90 1 57.3922 125.378 32.0601 264.952 6.72807 1338.48 5.77857 2558.27 4.90907 3924.34 4.11959 5436.68
42 95 1 52.0166 123.277 29.047 260.351 6.07749 1291.52 5.22018 2463.87 4.43526 3777.38 3.72275 5232.07
42 100 1 47.3261 121.212 26.4214 255.828 5.51667 1245.51 4.73887 2371.37 4.02688 3633.41 3.38072 5031.62
42 105 1 43.2084 119.181 24.1176 251.38 5.02666 1202.68 4.31791 2285.57 3.66925 3500.04 3.08069 4846.1
42 110 1 39.5787 117.183 22.0886 247.005 4.59855 1160.71 3.95014 2201.52 3.35682 3369.42 2.81857 4664.41
42 115 1 36.3646 115.217 20.2935 242.699 4.22242 1119.52 3.62707 2119.02 3.08237 3241.21 2.58834 4486.08
42 120 1 33.507 113.29 18.6987 238.909 3.89052 1087.11 3.34209 2051.31 2.8404 3131.49 2.38545 4327.66
42 125 1 30.9559 111.469 17.2759 235.352 3.59585 1060.59 3.08909 1998.69 2.6256 3049.66 2.20536 4213.49
42 130 1 28.6692 109.898 16.0006 231.851 3.33194 1035.83 2.86236 1950.15 2.43292 2974.81 2.04362 4109.81
42 135 1 26.6135 108.352 14.8546 228.404 3.09568 1011.49 2.65939 1902.44 2.26044 2901.25 1.89884 4007.92
42 140 1 24.7596 106.829 13.8215 225.011 2.88335 987.565 2.47698 1855.54 2.10545 2828.94 1.76875 3907.76
42 145 1 23.0826 105.331 12.8872 221.669 2.69184 964.041 2.31247 1809.44 1.96567 2757.86 1.65143 3809.31
42 150 1 21.5614 103.854 12.0399 218.377 2.51852 940.909 2.16359 1764.11 1.83917 2687.98 1.54525 3712.52
