zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
57 50 1 413.449 32.9955 238.108 70.0479 62.7668 748.592 54.4944 1505.65 46.8012 2341.21 39.6871 3255.28
57 55 1 355.131 34.42 204.382 72.8132 53.6316 710.454 46.564 1420.72 39.9947 2203.6 33.9238 3059.11
57 60 1 308.961 35.6278 177.665 75.0405 46.3697 676.774 40.2593 1347.36 34.5823 2086.8 29.339 2895.09
57 65 1 271.635 36.3865 156.065 76.768 40.4946 646.794 35.1577 1282.26 30.2016 1983.18 25.6263 2749.53
57 70 1 240.944 37.1339 138.312 78.0528 35.6788 619.146 30.9765 1221.89 26.6113 1886.29 22.5833 2612.35
57 75 1 215.335 37.5374 123.504 78.9644 31.6721 594.404 27.497 1167.34 23.6226 1797.78 20.0489 2485.71
57 80 1 193.707 37.9182 111.006 79.7556 28.3051 571.609 24.5729 1118.42 21.1106 1720.17 17.9182 2376.89
57 85 1 175.244 38.167 100.344 80.0524 25.4446 552.834 22.0882 1078.75 18.9755 1657.8 16.1063 2289.99
57 90 1 159.344 38.2745 91.1718 80.3472 22.9991 534.449 19.9643 1039.91 17.1507 1596.72 14.558 2204.89
57 95 1 145.541 38.3817 83.2165 80.4393 20.8917 517.241 18.1345 1003.36 15.5787 1538.78 13.2244 2123.52
57 100 1 133.473 38.3627 76.2678 80.1712 19.0631 502.751 16.547 971.825 14.2154 1487.39 12.068 2049.46
57 105 1 122.852 38.2232 70.1587 79.9101 17.4652 488.558 15.1601 940.941 13.0243 1437.06 11.0579 1976.91
57 110 1 113.448 38.0869 64.7516 79.6556 16.0555 475.601 13.9359 913.503 11.9723 1393.36 10.1649 1915.18
57 115 1 105.081 37.9538 59.9449 79.4071 14.8092 463.496 12.8535 888.869 11.0422 1355.53 9.37534 1863.47
57 120 1 97.6022 37.8236 55.6523 79.1644 13.7024 451.61 11.8924 864.682 10.2164 1318.38 8.67436 1812.7
57 125 1 90.8892 37.6961 51.8021 78.927 12.715 439.939 11.0351 840.928 9.47986 1281.9 8.04915 1762.84
57 130 1 84.8374 37.5713 48.3329 78.6949 11.8284 428.716 10.2651 818.107 8.81805 1246.87 7.48712 1715
57 135 1 79.364 37.4498 45.1976 78.2355 11.0312 419.456 9.57289 798.858 8.22317 1216.44 6.98202 1672.21
57 140 1 74.397 37.2666 42.3544 77.7117 10.3117 411.452 8.94826 781.856 7.68648 1188.92 6.5264 1632.66
57 145 1 69.8754 37.0212 39.7678 77.1976 9.66009 403.584 8.38255 765.142 7.20045 1161.87 6.1138 1593.77
57 150 1 65.7464 36.7802 37.4067 76.6926 9.06708 395.979 7.86764 748.983 6.75796 1135.7 5.73804 1556.14
57 155 1 61.9661 36.5435 35.2463 76.1965 8.52641 388.764 7.39817 734.077 6.35451 1112.14 5.3954 1522.94
57 160 1 58.4967 36.3108 33.2645 75.709 8.03232 381.993 6.96919 720.723 5.98587 1091.9 5.08235 1495.52
57 165 1 55.305 36.0822 31.4423 75.2298 7.57962 375.327 6.57616 707.577 5.64815 1071.98 4.79557 1468.53
57 170 1 52.3621 35.8574 29.763 74.7587 7.16381 368.766 6.21519 694.636 5.33798 1052.37 4.53219 1441.97
57 175 1 49.643 35.6363 28.212 74.2954 6.78098 362.306 5.88286 681.895 5.05245 1033.06 4.28975 1415.81
