zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
92 50 1 1915.98 1.20354 1129.69 2.55145 343.4 103.427 299.896 219.625 259.235 351.143 221.419 497.983
92 55 1 1618.11 1.39083 959.198 2.94324 300.283 104.234 262.157 220.515 226.548 351.787 193.456 498.048
92 60 1 1391.17 1.57444 828.162 3.32684 265.158 103.853 231.424 218.803 199.936 348.178 170.697 491.975
92 65 1 1213.47 1.75432 724.789 3.70267 236.103 103.488 206.01 217.113 177.939 344.576 151.888 485.878
92 70 1 1071.18 1.93042 641.468 4.05198 211.753 103.132 184.719 215.476 159.514 341.084 136.138 479.956
92 75 1 955.069 2.07939 573.09 4.71634 191.112 102.438 166.676 213.057 143.904 336.572 122.797 472.983
92 80 1 858.78 2.38183 516.107 4.97352 173.434 101.081 151.225 209.721 130.539 330.895 111.375 464.602
92 85 1 777.836 2.51304 468.003 5.25586 158.17 99.787 137.888 206.474 119.004 325.316 101.518 456.315
92 90 1 708.981 2.64967 426.937 5.54612 144.892 98.538 126.289 203.314 108.975 319.874 92.9508 448.219
92 95 1 649.798 2.78794 391.53 5.82688 133.262 97.3147 116.132 200.221 100.195 314.546 85.4516 440.289
92 100 1 598.459 2.90267 360.736 6.03588 123.013 96.0288 107.183 197.087 92.461 309.211 78.8464 432.4
92 105 1 553.562 3.00093 333.745 6.24447 113.929 94.6435 99.253 193.798 85.6087 303.708 72.9955 424.374
92 110 1 514.005 3.09878 309.917 6.45189 105.829 93.335 92.1829 190.712 79.4996 298.584 67.7789 416.949
92 115 1 478.931 3.19598 288.754 6.6577 98.5777 92.068 85.8543 187.724 74.0319 293.627 63.1103 409.775
92 120 1 447.651 3.29238 269.856 6.86165 92.0609 90.8261 80.1678 184.792 69.1198 288.76 58.9168 402.729
92 125 1 419.606 3.38789 252.893 7.06362 86.181 89.6081 75.038 181.913 64.6893 283.979 55.135 395.805
92 130 1 394.339 3.48246 237.598 7.26351 80.8563 88.4378 70.3933 179.184 60.6785 279.503 51.712 389.394
92 135 1 371.476 3.57606 223.747 7.42516 76.0179 87.2571 66.1735 176.483 57.0352 275.104 48.6029 383.118
92 140 1 350.702 3.64439 211.154 7.5401 71.6069 86.0559 62.327 173.791 53.7145 270.745 45.7695 376.918
