zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
55 50 1 370.605 39.8605 212.806 84.4584 55.0065 846.723 47.7052 1697.92 40.9237 2638.04 34.6622 3667.1
55 55 1 318.199 41.4217 182.564 87.3916 46.9297 802.026 40.702 1600.45 34.9207 2482.66 29.586 3448.65
55 60 1 276.655 42.4032 158.586 89.633 40.5165 762.456 35.1401 1514.32 30.1514 2345.22 25.5504 3255.16
55 65 1 243.051 43.3107 139.197 91.1644 35.3434 726.792 30.6538 1436.04 26.3042 2218.9 22.2946 3075.38
55 70 1 215.404 43.8137 123.253 92.3562 31.1033 694.127 26.9762 1363.84 23.1498 2101.5 19.6241 2907.09
55 75 1 192.328 44.3103 109.953 93.113 27.5774 666.858 23.917 1306.43 20.5244 2011.82 17.3997 2783.04
55 80 1 172.842 44.4943 98.7314 93.5123 24.6204 642.144 21.3516 1254.05 18.3229 1929.24 15.5343 2667.71
55 85 1 156.219 44.6389 89.1685 93.908 22.1175 617.968 19.1806 1202.82 16.4601 1848.45 13.9561 2554.88
55 90 1 141.911 44.7169 80.9457 93.5738 19.9809 598.133 17.3278 1159.67 14.8709 1778.2 12.6101 2453.7
55 95 1 129.494 44.5387 73.8175 93.2423 18.1412 579.032 15.7327 1117.99 13.5028 1710.11 11.4515 2355.4
55 100 1 118.636 44.3646 67.5875 92.9191 16.5387 561.824 14.3425 1081.7 12.3096 1652.55 10.44 2274.37
55 105 1 109.087 44.1945 62.1128 92.6035 15.1388 545.647 13.1281 1048.67 11.2672 1601.66 9.55632 2204.63
55 110 1 100.641 44.0281 57.2753 92.2951 13.9095 529.779 12.0617 1016.26 10.352 1551.74 8.78045 2136.22
55 115 1 93.1321 43.8651 52.9775 91.9934 12.8229 514.352 11.1191 984.767 9.54295 1503.24 8.09445 2069.77
55 120 1 86.4238 43.7055 49.1403 91.6239 11.8569 499.797 10.281 955.007 8.82337 1457.25 7.48409 2006.54
55 125 1 80.4073 43.5467 45.7018 90.9303 10.9963 488.91 9.53451 931.803 8.18267 1419.61 6.94082 1952.33
55 130 1 74.9894 43.2221 42.6076 90.2497 10.2258 478.217 8.86621 909.011 7.60912 1382.63 6.45452 1899.08
55 135 1 70.092 42.9033 39.812 89.5813 9.53209 467.888 8.26444 886.99 7.09253 1346.89 6.01636 1847.58
55 140 1 65.6505 42.5901 37.2781 88.9247 8.90576 458.26 7.7211 867.286 6.62606 1316 5.62065 1804.41
55 145 1 61.6104 42.2824 34.9746 88.2796 8.33879 449.106 7.22928 849.166 6.20386 1288.46 5.26252 1766.99
55 150 1 57.9248 41.98 32.8744 87.6454 7.82391 440.102 6.78268 831.343 5.8205 1261.37 4.93734 1730.18
55 155 1 54.5534 41.6826 30.9542 87.0219 7.35492 431.244 6.37592 813.809 5.47134 1234.72 4.64119 1693.97
55 160 1 51.4616 41.3902 29.194 86.4087 6.92652 422.529 6.00438 796.557 5.15245 1208.49 4.37072 1658.34
55 165 1 48.6185 41.1025 27.5759 85.8054 6.53335 414.12 5.66331 779.934 4.8596 1183.25 4.12222 1624.06
55 170 1 45.9988 40.8195 26.0855 85.2119 6.17212 405.892 5.34993 763.677 4.59051 1158.57 3.89386 1590.56
55 175 1 43.5803 40.5418 24.7101 84.5925 5.83988 399.78 5.06176 751.08 4.34312 1138.49 3.68397 1562.02
55 180 1 41.3428 40.2668 23.4381 83.9823 5.53349 394.135 4.79603 739.31 4.11502 1119.51 3.49045 1534.73
55 185 1 39.2688 39.9881 22.2596 83.382 5.2503 388.576 4.55044 727.719 3.90421 1100.81 3.31162 1507.86
55 190 1 37.3631 39.7138 21.1756 82.7913 4.98803 383.101 4.32301 716.302 3.709 1082.4 3.14602 1481.38
55 195 1 35.5868 39.4439 20.1657 82.2099 4.74469 377.708 4.11199 705.055 3.52789 1064.25 2.99238 1455.3
55 200 1 33.9284 39.1783 19.2234 81.6376 4.51849 372.532 3.91585 694.522 3.35955 1047.61 2.84959 1431.79
55 205 1 32.378 38.9168 18.3429 81.0742 4.30786 367.696 3.73322 685.202 3.20282 1033.59 2.71664 1412.86
55 210 1 30.9267 38.6593 17.5191 80.5194 4.11142 362.933 3.5629 676.019 3.05665 1019.78 2.59266 1394.21
55 215 1 29.5664 38.4058 16.7472 79.973 3.92792 358.238 3.4038 666.97 2.92011 1006.17 2.47685 1375.83
55 220 1 28.2897 38.1561 16.0228 79.4347 3.75598 353.691 3.2547 658.219 2.79213 993.019 2.36826 1358.09
55 225 1 27.0901 37.9102 15.3424 78.9045 3.59479 349.244 3.11492 649.667 2.67213 980.174 2.26642 1340.77
55 230 1 25.9618 37.6679 14.7027 78.3822 3.44358 344.858 2.98379 641.232 2.55957 967.506 2.1709 1323.68
55 235 1 24.8995 37.4292 14.1005 77.8674 3.30155 340.531 2.86063 632.912 2.45384 955.01 2.08119 1306.82
55 240 1 23.8982 37.194 13.5331 77.3601 3.16798 336.264 2.7448 624.704 2.35442 942.682 1.99683 1290.2
55 245 1 22.9535 36.9622 12.9979 76.86 3.0422 332.053 2.63574 616.606 2.26081 930.52 1.9174 1273.79
55 250 1 22.0613 36.7337 12.4925 76.3671 2.92362 327.898 2.53293 608.616 2.17257 918.52 1.84253 1257.61
55 255 1 21.218 36.5087 12.0149 75.9407 2.81174 324.428 2.43594 601.762 2.08933 907.943 1.77191 1242.97
55 260 1 20.4201 36.2871 11.5631 75.5494 2.70606 321.679 2.34433 596.13 2.01072 898.901 1.70523 1229.99
55 265 1 19.6646 36.0686 11.1353 75.1639 2.60611 318.968 2.25769 590.574 1.93637 889.981 1.64217 1217.19
55 270 1 18.9485 35.8828 10.73 74.7841 2.51149 316.294 2.17567 585.094 1.866 881.182 1.58247 1204.56
55 275 1 18.2692 35.712 10.3455 74.4098 2.42183 313.657 2.09795 579.687 1.79931 872.5 1.52591 1192.1
55 280 1 17.6243 35.5437 9.98056 74.0411 2.33678 311.055 2.02424 574.353 1.73607 863.935 1.47226 1179.8
55 285 1 17.0116 35.3778 9.63378 73.6776 2.25595 308.53 1.95417 569.177 1.67593 855.619 1.42124 1167.86
55 290 1 16.4312 35.2144 9.30518 73.3194 2.17913 306.051 1.88757 564.096 1.61877 847.455 1.37274 1156.13
55 295 1 15.8815 35.0534 8.99377 72.9663 2.10607 303.604 1.82423 559.08 1.56442 839.395 1.32663 1144.55
55 300 1 15.358 34.8947 8.69729 72.6183 2.03654 301.222 1.76396 554.259 1.5127 831.73 1.28275 1133.64
55 305 1 14.8593 34.7383 8.41481 72.2751 1.97033 299.029 1.70657 550.134 1.46344 825.592 1.24096 1125.4
55 310 1 14.3838 34.5841 8.14549 71.9368 1.90721 296.864 1.65186 546.062 1.4165 819.532 1.20113 1117.27
55 315 1 13.9301 34.432 7.88853 71.6031 1.84701 294.727 1.59968 542.042 1.37172 813.55 1.16314 1109.25
55 320 1 13.4969 34.2822 7.6432 71.2741 1.78955 292.617 1.54987 538.074 1.32898 807.643 1.12688 1101.33
55 325 1 13.083 34.1344 7.40883 70.9497 1.73466 290.534 1.5023 534.155 1.28817 801.812 1.09226 1093.51
55 330 1 12.6873 33.9886 7.18477 70.6296 1.6822 288.478 1.45683 530.286 1.24915 796.054 1.05916 1085.78
55 335 1 12.3089 33.8449 6.97044 70.314 1.63202 286.447 1.41335 526.465 1.21184 790.368 1.02751 1078.16
55 340 1 11.9466 33.7032 6.7653 70.0026 1.584 284.441 1.37173 522.691 1.17614 784.752 0.997221 1070.62
55 345 1 11.5997 33.5633 6.56884 69.6953 1.53802 282.46 1.33188 518.964 1.14195 779.206 0.968218 1063.19
55 350 1 11.2672 33.4254 6.38059 69.3922 1.49396 280.504 1.2937 515.283 1.10919 773.728 0.94043 1055.84
55 355 1 10.9485 33.2894 6.20009 69.0931 1.45172 278.572 1.25709 511.647 1.07778 768.317 0.91379 1048.58
55 360 1 10.6427 33.1552 6.02693 68.798 1.41118 276.671 1.22196 508.072 1.04764 762.999 0.888224 1041.45
55 365 1 10.3492 33.0227 5.86071 68.5068 1.37225 274.808 1.18823 504.57 1.0187 757.794 0.863665 1034.48
55 370 1 10.0673 32.8921 5.7011 68.2193 1.33487 272.967 1.15583 501.111 0.990899 752.65 0.840082 1027.59
55 375 1 9.79654 32.7631 5.54774 67.9356 1.29895 271.148 1.1247 497.692 0.964193 747.567 0.817426 1020.77
55 380 1 9.53625 32.6359 5.40034 67.6556 1.26442 269.35 1.09478 494.313 0.938523 742.545 0.795649 1014.04
55 385 1 9.28594 32.5103 5.25858 67.3792 1.23122 267.574 1.06601 490.974 0.913836 737.58 0.774706 1007.39
55 390 1 9.04511 32.3864 5.12219 67.1063 1.19927 265.818 1.03832 487.674 0.890083 732.674 0.754556 1000.82
55 395 1 8.81329 32.264 4.9909 66.8369 1.16851 264.083 1.01167 484.412 0.867218 727.825 0.73516 994.32
55 400 1 8.59007 32.1434 4.86448 66.6557 1.13889 262.771 0.986005 481.817 0.845204 723.792 0.716488 988.697
55 405 1 8.37502 32.0244 4.74269 66.4788 1.11036 261.695 0.961283 479.625 0.823999 720.269 0.698503 983.628
55 410 1 8.16776 31.9069 4.6253 66.3043 1.08285 260.632 0.937453 477.46 0.803559 716.789 0.681167 978.619
55 415 1 7.96791 31.7909 4.51212 66.1324 1.05633 259.582 0.914473 475.322 0.783848 713.351 0.66445 973.67
55 420 1 7.77515 31.6763 4.40294 65.9629 1.03074 258.546 0.892303 473.209 0.764832 709.954 0.648323 968.78
55 425 1 7.58914 31.5759 4.29759 65.7958 1.00604 257.522 0.870906 471.122 0.74648 706.597 0.632759 963.947
55 430 1 7.40957 31.5024 4.19588 65.631 0.98219 256.51 0.850247 469.06 0.728761 703.28 0.617732 959.171
55 435 1 7.23617 31.4299 4.09766 65.4686 0.959156 255.511 0.830293 467.023 0.711647 700.002 0.603218 954.45
55 440 1 7.06865 31.3584 4.00277 65.3084 0.936898 254.525 0.811011 465.009 0.69511 696.763 0.589194 949.785
55 445 1 6.90676 31.288 3.91107 65.1504 0.915383 253.55 0.792374 463.02 0.679126 693.561 0.575639 945.173
55 450 1 6.75026 31.2186 3.82242 64.9947 0.894578 252.587 0.774352 461.054 0.663671 690.397 0.562533 940.615
55 455 1 6.59889 31.1502 3.73667 64.8411 0.874445 251.643 0.756912 459.127 0.648712 687.294 0.549846 936.144
55 460 1 6.45246 31.0828 3.65371 64.6897 0.854957 250.715 0.74003 457.233 0.634232 684.244 0.537565 931.748
55 465 1 6.31075 31.0163 3.57342 64.5403 0.836094 249.799 0.723689 455.362 0.620217 681.229 0.525679 927.401
55 470 1 6.17357 30.9508 3.4957 64.393 0.817829 248.893 0.707866 453.512 0.606646 678.248 0.514169 923.104
55 475 1 6.04073 30.8862 3.42043 64.2477 0.800136 247.998 0.69254 451.683 0.593502 675.301 0.503022 918.854
55 480 1 5.91205 30.8225 3.34752 64.1044 0.782994 247.114 0.677691 449.875 0.580767 672.387 0.492221 914.652
55 485 1 5.78737 30.7597 3.27688 63.963 0.766379 246.24 0.6633 448.087 0.568425 669.506 0.481754 910.496
55 490 1 5.66652 30.6978 3.2084 63.8236 0.750271 245.398 0.649347 446.411 0.556459 666.862 0.471606 906.75
55 495 1 5.54936 30.6367 3.142 63.6861 0.734649 244.606 0.635816 444.909 0.544854 664.596 0.461765 903.667
55 500 1 5.43573 30.5765 3.07761 63.5504 0.719495 243.822 0.622689 443.425 0.533598 662.357 0.452219 900.619
55 505 1 5.3255 30.5172 3.01514 63.4165 0.704789 243.048 0.609952 441.957 0.522675 660.143 0.442956 897.605
55 510 1 5.21853 30.4586 2.95452 63.2845 0.690515 242.283 0.597589 440.507 0.512073 657.954 0.433966 894.627
55 515 1 5.11471 30.4009 2.89568 63.1542 0.676656 241.527 0.585586 439.073 0.50178 655.791 0.425237 891.682
55 520 1 5.01391 30.344 2.83855 63.0257 0.663196 240.779 0.573929 437.655 0.491783 653.652 0.416761 888.771
55 525 1 4.91601 30.2878 2.78307 62.8988 0.650121 240.041 0.562604 436.254 0.482073 651.538 0.408527 885.893
55 530 1 4.82092 30.2325 2.72917 62.7737 0.637416 239.31 0.551601 434.868 0.472638 649.447 0.400526 883.047
55 535 1 4.72852 30.1779 2.67679 62.6502 0.625067 238.588 0.540906 433.498 0.463468 647.38 0.39275 880.234
55 540 1 4.63871 30.124 2.62589 62.5284 0.613061 237.874 0.530509 432.144 0.454553 645.336 0.385191 877.451
55 545 1 4.55141 30.0709 2.5764 62.4082 0.601387 237.169 0.520399 430.804 0.445884 643.315 0.37784 874.7
55 550 1 4.46652 30.0185 2.52828 62.2895 0.590032 236.471 0.510566 429.48 0.437452 641.316 0.370691 871.98
55 555 1 4.38396 29.9668 2.48147 62.1724 0.578984 235.781 0.500999 428.171 0.429249 639.34 0.363736 869.289
55 560 1 4.30364 29.9158 2.43594 62.0569 0.568233 235.099 0.491689 426.876 0.421267 637.385 0.356968 866.629
55 565 1 4.22548 29.8656 2.39163 61.9429 0.557769 234.425 0.482627 425.595 0.413497 635.452 0.35038 863.997
55 570 1 4.14941 29.816 2.3485 61.8303 0.547581 233.759 0.473805 424.329 0.405934 633.541 0.343967 861.396
55 575 1 4.07535 29.767 2.30651 61.7193 0.537656 233.104 0.46521 423.087 0.398564 631.668 0.337718 858.847
55 580 1 4.00324 29.7188 2.26562 61.6096 0.527989 232.458 0.456839 421.86 0.391387 629.815 0.331632 856.325
55 585 1 3.93301 29.6712 2.22579 61.5014 0.518572 231.818 0.448684 420.645 0.384395 627.983 0.325704 853.831
55 590 1 3.8646 29.6242 2.187 61.3946 0.509395 231.186 0.440738 419.444 0.377581 626.17 0.319927 851.364
55 595 1 3.79794 29.5778 2.1492 61.2892 0.500451 230.56 0.432993 418.256 0.370942 624.377 0.314297 848.923
55 600 1 3.73298 29.5321 2.11236 61.1852 0.491733 229.941 0.425444 417.08 0.364469 622.603 0.308809 846.508
55 605 1 3.66966 29.487 2.07644 61.0825 0.483232 229.329 0.418083 415.918 0.358158 620.848 0.303458 844.12
55 610 1 3.60792 29.4425 2.04143 60.9811 0.474942 228.724 0.410905 414.767 0.352004 619.112 0.298241 841.757
55 615 1 3.54773 29.3986 2.00729 60.881 0.466856 228.125 0.403903 413.629 0.346002 617.394 0.293151 839.419
55 620 1 3.48901 29.3553 1.97399 60.7822 0.458967 227.533 0.397073 412.503 0.340146 615.694 0.288187 837.105
55 625 1 3.43174 29.3126 1.94151 60.6846 0.451269 226.947 0.390408 411.39 0.334432 614.013 0.283342 834.817
55 630 1 3.37586 29.2704 1.90981 60.5884 0.443757 226.367 0.383903 410.287 0.328856 612.349 0.278615 832.552
55 635 1 3.32133 29.2288 1.87888 60.4933 0.436423 225.794 0.377554 409.197 0.323413 610.703 0.274 830.311
55 640 1 3.2681 29.1877 1.84868 60.3995 0.429264 225.227 0.371355 408.118 0.318099 609.074 0.269495 828.094
55 645 1 3.21614 29.1472 1.81921 60.3068 0.422272 224.665 0.365302 407.05 0.31291 607.462 0.265096 825.9
55 650 1 3.16541 29.1073 1.79043 60.2153 0.415444 224.11 0.35939 405.994 0.307842 605.867 0.2608 823.728
