zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
43 50 1 109.928 125.014 66.373 265.113 22.8177 1614.24 19.7482 3144.76 16.9271 4856.68 14.3544 6749.99
43 55 1 96.2125 124.246 57.7122 263.806 19.2119 1531.49 16.6222 2970.75 14.2432 4581.6 12.0748 6364.04
43 60 1 84.9332 123.496 50.6647 262.534 16.3962 1450.14 14.1822 2799.7 12.149 4311.2 10.2967 5984.64
43 65 1 75.5292 122.76 44.8421 260.718 14.1549 1374.65 12.2406 2639.6 10.4832 4055.56 8.88278 5622.52
43 70 1 67.5974 121.511 39.9695 256.917 12.3416 1320.1 10.6701 2525.23 9.13613 3872.3 7.73975 5361.3
43 75 1 61.1231 119.745 35.9883 253.188 10.8535 1268.2 9.38168 2419.74 8.03134 3707.81 6.8025 5132.41
43 80 1 55.5469 118.011 32.5822 249.526 9.61736 1217.13 8.31161 2315.93 7.11396 3545.93 6.02443 4907.14
43 85 1 50.6623 116.306 29.6207 245.928 8.57923 1166.84 7.41316 2213.72 6.34389 3386.56 5.37141 4685.35
43 90 1 46.3616 114.628 27.0303 242.248 7.699 1122.2 6.65152 2121.52 5.6912 3240.2 4.81804 4478.26
43 95 1 42.5575 112.941 24.7519 238.367 6.94622 1089.26 6.00026 2053.55 5.13321 3131.26 4.34505 4322.37
43 100 1 39.1783 111.196 22.7379 234.551 6.29744 1058.27 5.43908 1992.4 4.65247 3036.96 3.9376 4191.94
43 105 1 36.1645 109.48 20.9494 230.797 5.73439 1027.74 4.95213 1932.17 4.23538 2944.08 3.58415 4063.47
43 110 1 33.4667 107.792 19.3547 227.104 5.24262 997.675 4.52689 1872.83 3.87121 2852.58 3.27559 3936.91
43 115 1 31.0435 106.13 17.9271 223.47 4.81062 968.049 4.15338 1814.36 3.55139 2762.41 3.00464 3812.19
43 120 1 28.8599 104.494 16.6445 219.892 4.42912 938.852 3.82358 1756.73 3.26902 2673.54 2.76545 3689.27
43 125 1 26.8862 102.883 15.4884 216.489 4.09056 912.131 3.53093 1703.37 3.0185 2590.21 2.55326 3572.65
43 130 1 25.0971 101.297 14.4429 213.523 3.78875 892.61 3.27008 1662.29 2.79523 2522.57 2.36417 3473.45
43 135 1 23.4711 99.9056 13.4948 210.604 3.51859 875.042 3.03661 1628.49 2.59541 2470.94 2.19497 3402.4
43 140 1 21.9894 98.6139 12.6326 207.729 3.27581 857.727 2.82683 1595.16 2.41588 2420.04 2.04296 3332.36
43 145 1 20.6361 97.3419 11.8465 204.899 3.05686 840.659 2.63766 1562.32 2.25401 2369.87 1.90591 3263.31
43 150 1 19.3971 96.0892 11.1279 202.11 2.85872 823.832 2.46649 1529.93 2.10756 2320.39 1.78193 3195.23
43 155 1 18.2604 94.8552 10.4696 199.363 2.67887 807.24 2.31112 1497.99 1.97464 2271.61 1.66942 3128.1
43 160 1 17.2153 93.6393 9.86522 196.657 2.51513 790.877 2.16969 1466.49 1.85365 2223.49 1.56701 3061.88
43 165 1 16.2526 92.4412 9.30912 193.989 2.36564 774.738 2.04057 1435.42 1.74321 2176.03 1.47355 2996.57
43 170 1 15.3641 91.2603 8.79644 191.36 2.2288 758.818 1.9224 1404.77 1.64214 2129.21 1.38801 2932.14
43 175 1 14.5426 90.0963 8.32291 188.768 2.10324 743.113 1.81398 1374.53 1.54941 2083.01 1.30954 2868.57
43 180 1 13.7817 88.9487 7.88475 186.535 1.98776 730.063 1.71426 1348.65 1.46414 2042.31 1.23739 2811.02
43 185 1 13.0759 87.8171 7.47862 184.671 1.88132 719.828 1.62236 1327.41 1.38555 2007.41 1.1709 2759.84
43 190 1 12.4201 86.7233 7.10155 182.834 1.783 710.175 1.53747 1308.22 1.31297 1976.97 1.1095 2716.43
43 195 1 11.8098 85.9197 6.75093 181.023 1.69201 700.928 1.45892 1290.39 1.24581 1949.41 1.05268 2677.99
43 200 1 11.2411 85.1278 6.42439 179.238 1.60764 691.805 1.38609 1272.8 1.18355 1922.22 1.00001 2640.06
43 205 1 10.7104 84.3472 6.11985 177.479 1.52926 682.804 1.31844 1255.44 1.12572 1895.38 0.951097 2602.63
43 210 1 10.2145 83.5777 5.83543 175.744 1.45634 673.923 1.2555 1238.31 1.07191 1868.9 0.90559 2565.7
43 215 1 9.75052 82.8189 5.56945 174.033 1.38837 665.158 1.19684 1221.4 1.02177 1842.76 0.863186 2529.24
43 220 1 9.31585 82.0707 5.32039 172.346 1.32493 656.508 1.14209 1204.71 0.974979 1816.96 0.823611 2493.26
43 225 1 8.90816 81.3329 5.08689 170.682 1.26562 647.97 1.09091 1188.24 0.931239 1791.5 0.786622 2457.73
43 230 1 8.52534 80.6051 4.86772 169.04 1.2101 639.713 1.043 1172.67 0.890296 1767.9 0.752 2425.41
43 235 1 8.16547 79.8872 4.66176 167.421 1.15806 631.703 0.998088 1157.85 0.85192 1745.86 0.719551 2395.73
43 240 1 7.82682 79.1791 4.46801 165.823 1.1092 623.794 0.955937 1143.22 0.815902 1724.1 0.689097 2366.43
43 245 1 7.5078 78.4803 4.28554 164.246 1.06329 615.985 0.916324 1128.77 0.782055 1702.61 0.66048 2337.51
43 250 1 7.20697 77.7909 4.11353 162.69 1.02009 608.274 0.879053 1114.51 0.75021 1681.4 0.633557 2308.94
43 255 1 6.92302 77.1105 3.9512 161.154 0.979389 600.659 0.843943 1100.42 0.720213 1660.45 0.608199 2280.73
43 260 1 6.65476 76.439 3.79788 159.638 0.941007 593.139 0.810834 1086.51 0.691927 1639.76 0.584288 2252.87
