zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
81 50 1 1239.97 3.45675 729.978 7.30048 219.989 190.985 192.137 398.111 166.075 628.678 141.803 882.687
81 55 1 1056.19 3.85303 623.639 8.46889 191.091 187.894 166.859 389.945 144.198 614.621 123.11 861.924
81 60 1 914.288 4.38748 540.995 9.24081 167.702 184.446 146.405 381.19 126.5 599.47 107.99 839.289
81 65 1 801.91 4.76107 475.197 10.0262 148.485 181.129 129.604 372.709 111.967 584.766 95.5759 817.299
81 70 1 711.017 5.07225 421.748 10.6148 132.48 177.266 115.614 363.494 99.8692 569.297 85.2438 794.676
81 75 1 636.176 5.34717 377.575 11.2003 118.974 173.414 103.81 354.4 89.6602 554.156 76.5235 772.684
81 80 1 573.633 5.61977 340.551 11.7802 107.47 169.766 93.7576 345.844 80.9669 540.014 69.0978 752.275
81 85 1 520.7 5.88941 309.146 12.3534 97.5924 166.204 85.1281 337.48 73.5059 526.182 62.7259 732.311
81 90 1 475.4 6.1558 282.221 12.9024 89.043 162.73 77.6604 329.382 67.0508 512.858 57.2139 713.158
81 95 1 436.246 6.36637 258.914 13.2439 81.5828 159.42 71.1447 321.873 61.4185 500.603 52.4043 695.609
81 100 1 402.114 6.52361 238.573 13.5816 75.0316 156.376 65.4232 314.872 56.473 489.072 48.1808 678.975
81 105 1 372.139 6.67903 220.695 13.9152 69.2508 153.403 60.3756 308.055 52.1106 477.869 44.4559 662.847
81 110 1 345.636 6.8326 204.879 14.2447 64.1225 150.558 55.8985 301.643 48.242 467.499 41.153 648.126
81 115 1 322.06 6.98434 190.805 14.5703 59.5501 147.774 51.9073 295.366 44.7936 457.344 38.2092 633.71
81 120 1 300.966 7.13427 178.208 14.8919 55.4502 145.097 48.3283 289.318 41.7011 447.555 35.5686 619.807
81 125 1 282.006 7.28242 166.885 15.2096 51.7641 142.486 45.1111 283.452 38.9216 438.106 33.1956 606.45
81 130 1 264.885 7.42882 156.661 15.4126 48.4372 139.897 42.2078 277.856 36.4137 429.29 31.0548 594.198
81 135 1 249.363 7.51214 147.394 15.5934 45.4242 137.713 39.5789 272.986 34.1431 421.412 29.1167 582.99
81 140 1 235.235 7.59453 138.96 15.7723 42.6849 135.582 37.1889 268.231 32.0789 413.717 27.3549 572.042
81 145 1 222.33 7.67611 131.258 15.9495 40.1861 133.509 35.0087 263.6 30.1959 406.222 25.7476 561.375
81 150 1 210.506 7.75689 124.204 16.1248 37.9018 131.517 33.0161 259.233 28.4751 399.271 24.2788 551.633
81 155 1 199.641 7.83688 117.725 16.2328 35.8081 129.547 31.1898 255.086 26.8981 392.851 22.933 542.843
81 160 1 189.629 7.88715 111.757 16.3372 33.8842 127.873 29.5119 251.461 25.4494 387.102 21.6968 534.794
81 165 1 180.38 7.93424 106.246 16.4409 32.1115 126.235 27.9659 247.91 24.1147 381.468 20.5578 526.908
81 170 1 171.813 7.981 101.143 16.5438 30.474 124.634 26.5379 244.441 22.8818 375.963 19.5058 519.202
81 175 1 163.862 8.02744 96.4105 16.646 28.9591 123.059 25.2169 241.024 21.7415 370.541 18.5327 511.611
81 180 1 156.467 8.07355 92.0107 16.7474 27.5546 121.507 23.9924 237.657 20.6845 365.199 17.6309 504.132
81 185 1 149.575 8.11935 87.9126 16.8034 26.2502 119.933 22.8551 234.296 19.7029 359.891 16.7934 496.719
81 190 1 143.141 8.1517 84.0886 16.8532 25.0364 118.537 21.797 231.251 18.7897 354.995 16.0144 489.768
81 195 1 137.122 8.17368 80.5131 16.903 23.9042 117.251 20.8101 228.408 17.9379 350.375 15.2877 483.152
81 200 1 131.483 8.19565 77.1653 16.9527 22.8472 115.984 19.8886 225.607 17.1427 345.824 14.6093 476.633
