zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
32 50 1 46.4698 378.812 26.7827 814.742 7.09564 3790.28 6.06846 7320.23 5.13926 11404.6 4.30804 16043.3
32 55 1 39.898 366.295 22.9048 786.582 5.91159 3545.31 5.05437 6827.24 4.27919 10632.3 3.58606 14960.6
32 60 1 34.559 353.993 19.7785 759.284 4.99788 3319.84 4.27207 6381.97 3.61593 9945.7 3.02947 14011
32 65 1 30.1701 342.215 17.2242 735.405 4.27819 3159.62 3.65606 6047.43 3.09381 9398.82 2.59144 13213.8
32 70 1 26.5242 332.024 15.1128 711.931 3.70135 3002.03 3.16245 5718.3 2.67554 8860.75 2.24063 12429.4
32 75 1 23.4668 322.001 13.3494 688.844 3.23203 2856.56 2.76094 5432.87 2.3354 8417.77 1.9554 11811.3
32 80 1 20.8813 312.138 11.8632 666.129 2.84518 2714.18 2.43005 5155.15 2.05514 7989.04 1.72045 11215.8
32 85 1 18.6779 302.43 10.6002 647.016 2.52263 2604.49 2.15422 4936.59 1.82156 7643.34 1.52466 10724.7
32 90 1 16.7869 293.555 9.51895 630.299 2.25096 2515.21 1.92193 4758.2 1.62489 7359.26 1.35984 10318.4
32 95 1 15.1538 286.516 8.58692 613.844 2.02005 2427.3 1.72453 4582.51 1.45779 7079.49 1.21983 9918.23
32 100 1 13.7349 279.587 7.77857 597.643 1.8222 2342.39 1.55542 4416.17 1.31466 6819 1.09991 9550.88
32 105 1 12.4956 272.763 7.07349 581.69 1.65142 2260.67 1.40947 4260.02 1.19114 6579.76 0.996453 9219.86
32 110 1 11.4075 266.042 6.45526 565.975 1.50303 2180.15 1.28267 4106.17 1.08385 6344.02 0.906592 8893.7
32 115 1 10.4478 259.421 5.91055 550.927 1.3733 2104.32 1.17183 3960.26 0.990084 6118.74 0.828066 8579.76
32 120 1 9.59766 252.897 5.42847 540.35 1.25927 2054.41 1.07441 3861.2 0.907675 5960.75 0.759062 8353.03
32 125 1 8.84152 246.763 5.00002 529.932 1.15851 2005.61 0.988345 3765.15 0.83488 5808.57 0.698115 8135.85
