zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
59 50 1 459.325 27.1484 265.235 57.6444 71.1449 664.947 61.826 1341.61 53.1501 2087.65 45.1172 2903.05
59 55 1 394.608 28.7591 227.742 60.7592 60.877 631.898 52.9022 1267.81 45.4819 1968.48 38.616 2733.93
59 60 1 343.444 29.8035 198.073 62.9131 52.702 602.933 45.7974 1203.37 39.3759 1864.23 33.4375 2585.5
59 65 1 302.129 30.7549 174.106 64.6636 46.0831 577.032 40.0447 1146.94 34.4314 1774.38 29.243 2459.35
59 70 1 268.172 31.3575 154.407 66.0041 40.6418 554.01 35.3151 1097.04 30.3653 1695.09 25.7923 2348.16
59 75 1 239.858 31.9401 137.988 67.1319 36.1183 532.234 31.3837 1049.72 26.9857 1619.59 22.9241 2241.85
59 80 1 215.943 32.3231 124.126 67.8336 32.3085 513.153 28.0721 1007.74 24.1381 1551.58 20.5064 2144.69
59 85 1 195.535 32.6178 112.305 68.5262 29.0754 494.567 25.2621 966.854 21.722 1485.39 18.4551 2050.17
59 90 1 177.946 32.9092 102.122 68.8781 26.2978 479.368 22.847 935.023 19.6444 1435.84 16.6899 1981.83
59 95 1 162.672 32.9956 93.2871 69.0985 23.902 465.186 20.7644 905.131 17.8531 1388.93 15.1681 1916.59
59 100 1 149.311 33.0758 85.566 69.3176 21.8207 451.284 18.9553 875.823 16.2973 1342.94 13.8466 1852.62
59 105 1 137.549 33.1561 78.775 69.2783 20.0011 438.838 17.3741 849.284 14.9377 1300.61 12.6919 1792.83
59 110 1 127.134 33.1044 72.7673 69.066 18.4009 427.905 15.9837 825.543 13.7424 1261.98 11.6769 1737.21
59 115 1 117.863 32.9946 67.4242 68.8592 16.9858 417.185 14.7543 802.264 12.6855 1224.1 10.7795 1682.68
59 120 1 109.567 32.8874 62.6452 68.6577 15.7238 407.22 13.6574 780.918 11.7421 1189.75 9.97782 1633.72
59 125 1 102.114 32.7828 58.3557 68.4611 14.597 398.025 12.6781 762.255 10.8997 1161.15 9.26199 1594.71
59 130 1 95.3941 32.6805 54.4904 68.2691 13.5868 388.991 11.8002 743.915 10.1448 1133.04 8.62046 1556.37
59 135 1 89.3116 32.5805 50.9947 68.0816 12.6778 380.111 11.0103 725.891 9.46545 1105.42 8.04327 1518.7
59 140 1 83.787 32.4827 47.8214 67.8983 11.8558 371.481 10.296 708.379 8.85107 1078.59 7.52113 1482.12
59 145 1 78.7534 32.3869 44.9318 67.691 11.1102 363.045 9.64794 691.297 8.29365 1052.45 7.04732 1446.49
59 150 1 74.1551 32.2939 42.2939 67.2855 10.4328 356.916 9.05931 678.329 7.78745 1031.52 6.61715 1416.5
59 155 1 69.9425 32.1282 39.8788 66.8875 9.8151 350.938 8.52267 665.659 7.32598 1011.05 6.22503 1387.11
59 160 1 66.0736 31.9416 37.662 66.4968 9.2504 345.057 8.03206 653.193 6.90412 990.905 5.86657 1358.19
59 165 1 62.511 31.7584 35.6215 66.1131 8.73194 339.374 7.58156 641.144 6.51666 971.423 5.53723 1330.21
