zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
46 50 1 212.338 94.3981 120.115 200.423 27.8916 1533.32 24.0301 3041.77 20.4702 4725.78 17.2118 6585.34
46 55 1 181.395 94.9867 102.512 201.91 23.628 1435.62 20.3593 2830.13 17.3471 4385.43 14.5917 6101.53
46 60 1 156.846 95.0258 88.5655 200.896 20.2851 1356.46 17.4824 2657.03 14.9008 4102.58 12.5404 5693.13
46 65 1 136.979 94.4692 77.2852 199.91 17.5917 1288.26 15.162 2514.7 12.9248 3879.22 10.8801 5381.82
46 70 1 120.666 93.9245 68.0354 198.948 15.4048 1221.83 13.2782 2376.07 11.3208 3661.65 9.5325 5078.57
46 75 1 107.085 93.3904 60.3401 198.008 13.5953 1159.46 11.7185 2246 9.99157 3457.62 8.41436 4794.34
46 80 1 95.6591 92.7952 53.8744 195.582 12.0897 1112.69 10.4216 2143.87 8.88701 3289.13 7.48594 4548.46
46 85 1 85.9438 91.6333 48.3801 193.133 10.8165 1071.7 9.32415 2059.95 7.95162 3157.89 6.69889 4365.51
46 90 1 77.8211 90.4925 43.7776 190.729 9.73401 1032.06 8.3912 1979.55 7.15648 3033.19 6.02984 4192.99
46 95 1 70.8724 89.3719 39.8393 188.368 8.8062 993.237 7.59165 1900.8 6.47509 2911.07 5.45653 4024.03
46 100 1 64.7708 88.2705 36.3864 186.047 8.00198 956.277 6.89825 1825.95 5.88379 2795.08 4.95859 3863.65
46 105 1 59.3874 87.1886 33.3444 183.751 7.30133 921.905 6.29405 1755.98 5.36841 2685.98 4.52441 3711.9
46 110 1 54.6176 86.1317 30.6533 181.298 6.68894 896.237 5.76618 1701.09 4.91837 2595.87 4.14548 3580.56
46 115 1 50.3729 85.0329 28.2615 178.886 6.15006 872.052 5.30171 1651.25 4.52239 2516.49 3.8121 3467.76
46 120 1 46.5806 83.9438 26.127 176.515 5.67337 849.278 4.89088 1606.19 4.17217 2447.26 3.51724 3372.49
46 125 1 43.1799 82.8725 24.2148 174.182 5.24967 826.922 4.52573 1561.97 3.8609 2379.32 3.25518 3278.97
46 130 1 40.1186 81.8185 22.4943 171.886 4.86992 805.717 4.19828 1520.13 3.58156 2315.13 3.01978 3190.71
46 135 1 37.355 80.7811 20.9421 169.627 4.52915 785.072 3.90441 1479.43 3.33083 2252.71 2.80843 3104.91
46 140 1 34.8529 79.76 19.5377 167.403 4.22254 764.772 3.64 1439.42 3.10526 2191.34 2.61829 3020.55
46 145 1 32.5813 78.7545 18.2635 165.213 3.94566 744.807 3.40127 1400.07 2.90159 2131 2.44663 2937.6
46 150 1 30.5135 77.7663 17.1042 163.176 3.69493 727.667 3.18511 1365.52 2.71722 2076.73 2.29127 2861.29
46 155 1 28.6265 76.7951 16.0468 161.381 3.46718 713.906 2.98881 1336.64 2.54983 2029.59 2.15026 2792.74
46 160 1 26.9 75.9224 15.0797 159.613 3.25929 700.568 2.80959 1308.66 2.39697 1983.89 2.02144 2726.26
46 165 1 25.3167 75.1361 14.1928 157.871 3.06887 688.757 2.64538 1285.83 2.25685 1949.09 1.90329 2678.54
46 170 1 23.862 74.3619 13.3782 156.157 2.8944 677.157 2.49493 1263.46 2.12848 1915.08 1.79505 2631.99
46 175 1 22.5227 73.5993 12.6284 154.467 2.73415 665.736 2.35675 1241.44 2.01058 1881.59 1.69565 2586.17
46 180 1 21.2873 72.8481 11.937 152.803 2.58662 654.491 2.22955 1219.76 1.90206 1848.62 1.60414 2541.06
46 185 1 20.1456 72.108 11.2981 151.163 2.45051 643.417 2.1122 1198.41 1.80194 1816.15 1.51973 2496.64
46 190 1 19.0887 71.3786 10.7067 149.547 2.32468 632.511 2.00371 1177.39 1.70939 1784.18 1.4417 2452.89
46 195 1 18.1085 70.6598 10.1583 147.954 2.20802 621.856 1.90312 1156.87 1.62356 1752.99 1.36933 2410.23
46 200 1 17.198 69.9514 9.64879 146.384 2.0996 611.495 1.80962 1136.94 1.54376 1722.73 1.30201 2368.85
46 205 1 16.3509 69.2529 9.17488 144.836 1.99881 601.281 1.72271 1117.3 1.46958 1692.9 1.23944 2328.06
46 210 1 15.5619 68.5643 8.73341 143.309 1.90496 591.213 1.64178 1097.94 1.40052 1663.49 1.18119 2287.86
46 215 1 14.8257 67.8852 8.32157 141.803 1.81743 581.287 1.5663 1078.85 1.33611 1634.5 1.12686 2248.23
46 220 1 14.1381 67.2174 7.93689 140.642 1.73572 574.388 1.49586 1064.71 1.27602 1611.61 1.07619 2215.09
46 225 1 13.4948 66.5588 7.57705 139.573 1.65929 567.789 1.42997 1051.06 1.21981 1589.39 1.0288 2182.78
46 230 1 12.8924 65.9091 7.24003 138.519 1.58768 561.284 1.36825 1037.61 1.16716 1567.49 0.984405 2150.93
46 235 1 12.3274 65.4221 6.9239 137.48 1.52043 554.965 1.31027 1024.54 1.11768 1546.21 0.942679 2119.97
46 240 1 11.7969 64.9656 6.62705 136.456 1.45722 549.181 1.25577 1013.36 1.07118 1528.98 0.903449 2096.06
46 245 1 11.2983 64.5156 6.34804 135.446 1.39778 543.489 1.20451 1002.38 1.02744 1512.11 0.86656 2072.68
46 250 1 10.8292 64.0719 6.0855 134.449 1.34181 537.877 1.15626 991.548 0.986268 1495.46 0.83183 2049.62
46 255 1 10.3874 63.6344 5.8382 133.467 1.28905 532.341 1.11078 980.868 0.94746 1479.05 0.799096 2026.88
46 260 1 9.97077 63.2029 5.60502 132.498 1.23927 526.881 1.06786 970.333 0.91084 1462.85 0.76821 2004.45
46 265 1 9.57762 62.7774 5.38493 131.542 1.19224 521.494 1.02732 959.941 0.87625 1446.88 0.739034 1982.32
46 270 1 9.20623 62.3577 5.177 130.598 1.14777 516.18 0.988983 949.688 0.843542 1431.12 0.711448 1960.48
46 275 1 8.85508 61.9436 4.98038 129.668 1.10568 510.941 0.952695 939.581 0.812582 1415.59 0.685335 1938.96
46 280 1 8.52271 61.5352 4.79423 128.75 1.06575 505.834 0.918273 929.74 0.783207 1400.47 0.660553 1918.02
46 285 1 8.20791 61.1321 4.6179 127.844 1.02789 500.792 0.885632 920.026 0.755354 1385.55 0.637055 1897.35
46 290 1 7.9095 60.7344 4.45073 126.949 0.991956 495.816 0.854653 910.438 0.728919 1370.82 0.614755 1876.95
46 295 1 7.63181 60.342 4.29481 126.067 0.957821 491.069 0.825226 901.634 0.70381 1357.76 0.593572 1859.45
46 300 1 7.36849 59.9547 4.14693 125.196 0.925369 486.39 0.79725 892.97 0.679939 1344.94 0.573435 1842.29
