zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
62 50 1 285.919 20.4657 186.963 43.2074 88.007 500.346 76.8811 1009.69 66.5098 1571.23 56.8929 2184.97
62 55 1 254.955 21.6253 165.122 45.7398 75.2898 482.076 65.7479 967.583 56.8581 1502.26 48.6206 2086.11
62 60 1 229.291 22.7663 147.232 48.2321 65.1727 464.237 56.8948 926.716 49.1866 1435.67 42.048 1991.09
62 65 1 207.683 23.6991 132.334 49.8302 56.9851 448.471 49.7329 891.348 42.9828 1378.46 36.735 1909.81
62 70 1 189.247 24.3704 119.754 51.3179 50.261 433.317 43.8533 857.228 37.8916 1323.05 32.3761 1830.78
62 75 1 173.344 24.9706 109.006 52.3517 44.6684 420.079 38.9646 828.493 33.6598 1277.59 28.754 1767.38
62 80 1 159.494 25.3801 99.7293 53.2742 39.965 407.507 34.8543 801.106 30.1027 1234.07 25.7104 1706.4
62 85 1 147.333 25.7839 91.6515 54.0497 35.9704 395.365 31.3643 774.644 27.0833 1191.89 23.1273 1647.09
62 90 1 136.579 26.0593 84.5633 54.5288 32.548 384.574 28.3751 750.788 24.4977 1153.17 20.9159 1591.72
62 95 1 127.009 26.2624 78.301 55.0023 29.593 373.948 25.7946 727.295 22.2661 1115.04 19.0076 1537.19
62 100 1 118.446 26.4632 72.7346 55.3705 27.0234 364.044 23.5511 706.077 20.3264 1081.47 17.3493 1490.22
62 105 1 110.745 26.5908 67.7601 55.5167 24.7747 355.707 21.5882 688.531 18.6296 1053.99 15.8988 1452.08
62 110 1 103.79 26.6447 63.2926 55.6626 22.7954 347.495 19.8607 671.247 17.1365 1026.92 14.6228 1414.5
62 115 1 97.482 26.6987 59.2629 55.808 21.0438 339.405 18.3323 654.216 15.8157 1000.24 13.4941 1377.48
62 120 1 91.7405 26.7526 55.6134 55.7539 19.4863 332.2 16.9734 638.891 14.6416 975.827 12.4909 1343.01
62 125 1 86.497 26.718 52.296 55.6058 18.0951 325.957 15.7598 625.326 13.5931 953.713 11.5952 1311.12
62 130 1 81.6937 26.6421 49.2705 55.4618 16.8472 319.807 14.6713 611.958 12.653 931.917 10.7921 1279.68
62 135 1 77.2813 26.568 46.5024 55.3215 15.7235 313.745 13.6914 598.782 11.8066 910.431 10.0693 1248.69
62 140 1 73.2173 26.4958 43.9627 55.1847 14.7082 308.035 12.8059 586.849 11.042 891.626 9.4163 1222.37
62 145 1 69.4652 26.4253 41.6263 55.0515 13.7875 302.608 12.0032 575.89 10.3489 874.898 8.82446 1199.63
62 150 1 65.9931 26.3565 39.4717 54.9215 12.9502 297.257 11.2732 565.084 9.71862 858.405 8.28634 1177.22
62 155 1 62.7735 26.2893 37.4799 54.7946 12.1864 291.981 10.6074 554.429 9.14383 842.14 7.79563 1155.11
62 160 1 59.7819 26.2236 35.6349 54.6707 11.4878 286.777 9.99846 543.92 8.61818 826.099 7.34691 1133.31
62 165 1 56.9972 26.1594 33.9221 54.5497 10.847 281.645 9.44006 533.554 8.13622 810.276 6.93553 1111.81
62 170 1 54.4005 26.0966 32.3293 54.3269 10.258 277.157 8.92676 524.387 7.69323 796.017 6.55744 1092.05
62 175 1 51.975 26.0256 30.8452 54.0604 9.71532 273.601 8.45384 516.872 7.28512 783.872 6.20915 1074.6
62 180 1 49.706 25.9005 29.4601 53.7988 9.21416 270.095 8.01717 509.46 6.90833 771.893 5.88761 1057.39
62 185 1 47.5801 25.7777 28.1653 53.5421 8.75042 266.638 7.61315 502.149 6.55973 760.074 5.59016 1040.42
62 190 1 45.5856 25.6572 26.953 53.2899 8.32046 263.228 7.23858 494.936 6.23658 748.414 5.31444 1023.66
62 195 1 43.7118 25.5388 25.8164 53.0422 7.9211 259.864 6.89069 487.819 5.93646 736.908 5.05839 1007.13
62 200 1 41.9491 25.4225 24.7493 52.7989 7.54948 256.628 6.56701 481.13 5.65724 726.305 4.82019 992.151
62 205 1 40.289 25.3083 23.746 52.5598 7.20311 253.614 6.26533 475.242 5.39703 717.441 4.59821 980.213
62 210 1 38.7236 25.196 22.8017 52.3248 6.87975 250.641 5.98371 469.431 5.15413 708.695 4.39103 968.432
62 215 1 37.2458 25.0857 21.9116 52.0939 6.57741 247.707 5.72041 463.696 4.92706 700.063 4.19735 956.807
