zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
64 50 1 309.386 17.1419 203.932 36.0895 98.4772 447.202 86.0747 905.474 74.5031 1410.9 63.7623 1963.49
64 55 1 276.113 18.0779 180.246 38.1312 84.3786 432.059 73.7247 870.095 63.7904 1352.24 54.5756 1878.49
64 60 1 248.546 18.9994 160.844 40.1411 73.1422 417.543 63.8864 836.804 55.2601 1297.92 47.2634 1800.9
64 65 1 225.34 19.9065 144.687 42.1199 64.0339 403.303 55.9145 804.227 48.3508 1244.89 41.3428 1725.3
64 70 1 205.544 20.6644 131.043 43.3936 56.5428 390.688 49.3602 776.006 42.6721 1199.35 36.4785 1660.72
64 75 1 188.466 21.1957 119.385 44.5694 50.3037 378.629 43.9033 748.912 37.9457 1155.42 32.4309 1598.15
64 80 1 173.589 21.7192 109.32 45.4723 45.05 367.676 39.3095 724.969 33.968 1117.35 29.0255 1544.82
64 85 1 160.524 22.0424 100.553 46.198 40.583 357.681 35.4047 703.241 30.5878 1082.88 26.1323 1496.59
64 90 1 148.965 22.3606 92.8583 46.914 36.752 347.839 32.0565 681.847 27.6901 1048.94 23.6527 1449.11
64 95 1 138.673 22.6545 86.0571 47.3322 33.4407 338.906 29.1634 662.283 25.1868 1017.47 21.511 1404.45
64 100 1 129.459 22.8129 80.0092 47.7012 30.5589 330.466 26.6458 643.66 23.0089 987.286 19.6481 1361.34
64 105 1 121.168 22.9696 74.6016 48.0663 28.0347 322.152 24.4413 625.314 21.1022 957.554 18.0174 1318.87
64 110 1 113.674 23.1246 69.7427 48.288 25.8111 314.703 22.4996 609.536 19.423 932.788 16.5816 1284.46
64 115 1 106.873 23.2029 65.3575 48.3977 23.842 308.186 20.7803 595.846 17.9366 911.378 15.3107 1254.78
64 120 1 100.678 23.2432 61.3836 48.5073 22.0897 301.765 19.2507 582.356 16.6142 890.281 14.1803 1225.54
64 125 1 95.0151 23.2836 57.7693 48.6167 20.5235 295.437 17.8837 569.062 15.4327 869.491 13.1704 1196.72
64 130 1 89.8237 23.3241 54.4708 48.604 19.1178 289.555 16.6569 556.653 14.3724 849.897 12.2644 1169.29
64 135 1 85.0509 23.3197 51.4511 48.4851 17.8513 284.683 15.5518 546.084 13.4175 832.687 11.4483 1144.49
64 140 1 80.6513 23.259 48.6787 48.3694 16.7062 279.881 14.5527 535.666 12.5543 815.722 10.7108 1120.05
