zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
44 50 1 184.251 114.521 103.898 243.686 23.5441 1757.68 20.2475 3474.25 17.2146 5393.42 14.4454 7515.18
44 55 1 157.114 114.385 88.5187 242.356 19.9239 1651.25 17.1384 3244.92 14.5769 5023.37 12.2392 6986.6
44 60 1 135.578 113.648 76.3232 241.063 17.0686 1556.63 14.6838 3046.24 12.4915 4709.9 10.4918 6547.61
44 65 1 118.183 112.927 66.4844 239.801 14.7861 1465.99 12.7212 2855.96 10.8238 4409.73 9.09371 6127.3
44 70 1 103.913 112.231 58.4217 237.504 12.9303 1389.7 11.1254 2692.53 9.46731 4145.98 7.95605 5750.06
44 75 1 92.0548 110.89 51.7284 234.153 11.402 1330.06 9.81107 2568.41 8.35003 3949.22 7.01883 5472.48
44 80 1 82.45 109.333 46.2885 230.867 10.127 1274.08 8.71441 2454.1 7.4174 3770.91 6.23604 5224.53
44 85 1 74.2853 107.803 41.6701 227.64 9.0549 1219.32 7.79228 2342.26 6.6333 3596.47 5.57796 4981.95
44 90 1 67.2203 106.3 37.6807 224.47 8.14105 1167.27 7.0059 2236.13 5.96416 3431.04 5.01583 4752
44 95 1 61.0704 104.827 34.2136 221.265 7.35683 1121.39 6.33095 2141.26 5.38968 3280.88 4.53303 4540.25
44 100 1 55.6889 103.367 31.1849 217.9 6.68086 1085.91 5.7494 2066.2 4.89493 3158.76 4.11746 4363.6
44 105 1 50.955 101.852 28.5243 214.593 6.09357 1053.25 5.24419 2001.09 4.46516 3058.13 3.75649 4224.35
44 110 1 46.7708 100.362 26.1755 211.341 5.5801 1021.21 4.80252 1937.25 4.08946 2959.44 3.44094 4087.8
44 115 1 43.0552 98.8961 24.0914 208.142 5.12745 990.451 4.41303 1876.04 3.758 2864.9 3.16237 3957.04
44 120 1 39.7421 97.4541 22.234 204.995 4.72603 961.064 4.06745 1817.69 3.46373 2774.86 2.91485 3832.59
44 125 1 36.7777 96.035 20.5736 201.898 4.3695 932.191 3.76056 1760.36 3.20241 2686.41 2.69506 3710.33
44 130 1 34.1162 94.6381 19.0838 198.849 4.05143 903.82 3.48678 1704.04 2.96931 2599.51 2.49901 3590.22
44 135 1 31.7188 93.2678 17.7427 196.156 3.76672 881.525 3.2418 1657.93 2.7608 2525.38 2.32372 3483.87
44 140 1 29.5525 91.9315 16.5316 193.646 3.51076 862.031 3.02159 1617.1 2.57341 2458.85 2.16621 3387.28
44 145 1 27.5885 90.8184 15.4337 191.175 3.27888 844.884 2.82199 1583.76 2.40343 2407.82 2.0232 3317.04
44 150 1 25.8036 89.7226 14.4362 188.743 3.0688 828.123 2.64114 1551.2 2.2494 2357.98 1.89359 3248.47
44 155 1 24.1774 88.6436 13.5277 186.347 2.87797 811.633 2.47687 1519.17 2.10951 2308.96 1.77589 3181.01
44 160 1 22.6923 87.5809 12.6982 183.988 2.70414 795.409 2.32724 1487.66 1.98209 2260.74 1.66867 3114.65
44 165 1 21.3327 86.5342 11.939 181.663 2.54534 779.443 2.19056 1456.65 1.8657 2213.29 1.57074 3049.35
44 170 1 20.0853 85.5029 11.2426 179.373 2.3999 763.73 2.06539 1426.14 1.7591 2166.59 1.48105 2985.1
44 175 1 18.9383 84.4867 10.6022 177.116 2.26608 748.558 1.95017 1396.73 1.66095 2121.64 1.39843 2923.28
44 180 1 17.8816 83.4853 10.0122 174.891 2.14287 733.682 1.84409 1367.92 1.57058 2077.59 1.32234 2862.72
44 185 1 16.9063 82.4981 9.46778 172.698 2.02925 719.027 1.74627 1339.53 1.48725 2034.21 1.25218 2803.06
44 190 1 16.0046 81.5255 8.96443 170.575 1.92427 705.095 1.65589 1312.4 1.41026 1992.49 1.18737 2745.36
44 195 1 15.1695 80.5693 8.49832 169.006 1.82714 695.25 1.5723 1291.88 1.33908 1958.91 1.12747 2696.32
44 200 1 14.3947 79.6265 8.06589 167.46 1.73704 685.553 1.49476 1271.68 1.27305 1925.84 1.07191 2648.03
44 205 1 13.6748 78.8232 7.66404 165.937 1.65326 676.452 1.42266 1253.49 1.21165 1897.04 1.02023 2607.11
44 210 1 13.0047 78.1551 7.28992 164.435 1.57514 667.891 1.3554 1236.85 1.15436 1871.3 0.971996 2571.26
44 215 1 12.3802 77.4966 6.94124 162.954 1.5023 659.454 1.2927 1220.45 1.10094 1845.94 0.927024 2535.93
44 220 1 11.7973 76.8474 6.61581 161.494 1.43428 651.137 1.23415 1204.29 1.05107 1820.95 0.885032 2501.11
44 225 1 11.2527 76.2075 6.31166 160.054 1.37067 642.939 1.1794 1188.36 1.00443 1796.31 0.845766 2466.79
44 230 1 10.743 75.5764 6.02705 158.635 1.3111 634.857 1.12812 1172.65 0.960754 1772.02 0.808996 2432.95
44 235 1 10.2655 74.9542 5.76037 157.235 1.25524 626.889 1.08004 1157.17 0.9198 1748.07 0.774517 2399.6
44 240 1 9.81761 74.3405 5.51019 155.854 1.20278 619.032 1.03489 1141.9 0.881346 1724.46 0.742143 2366.71
44 245 1 9.39693 73.7352 5.27516 154.491 1.1534 611.393 0.992379 1127.08 0.845127 1701.55 0.71164 2334.8
44 250 1 9.00143 73.1382 5.05417 153.147 1.10691 604.047 0.952365 1113.21 0.811037 1680.65 0.682931 2306.34
44 255 1 8.62922 72.5491 4.84617 151.821 1.06311 596.879 0.914659 1099.85 0.778915 1660.73 0.65588 2279.53
44 260 1 8.27855 71.968 4.65017 150.512 1.02179 589.806 0.87909 1086.66 0.748614 1641.09 0.630363 2253.07
