zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
53 50 1 192.448 47.9897 121.183 101.557 49.9188 845.429 43.4689 1679.37 37.4868 2603.38 31.9723 3617.46
53 55 1 170.578 49.3215 106.487 104.511 42.3947 806.602 36.9045 1593.69 31.8151 2465.79 27.1263 3422.88
53 60 1 152.454 50.4534 94.4567 106.455 36.4598 771.426 31.7288 1515.29 27.345 2338.05 23.3086 3239.7
53 65 1 137.209 51.1247 84.451 108.05 31.6933 738.804 27.5735 1443.67 23.7576 2222.64 20.2457 3075.72
53 70 1 124.228 51.6942 76.0168 108.802 27.8059 711.285 24.1856 1385.22 20.8336 2130.6 17.75 2947.43
53 75 1 113.059 51.9024 68.826 109.366 24.5927 685.021 21.3862 1329.23 18.4183 2041.99 15.689 2823.3
53 80 1 103.365 52.1085 62.6354 109.423 21.9059 661.619 19.0459 1278.68 16.3995 1960.59 13.9668 2707.37
53 85 1 94.885 51.9807 57.2604 109.019 19.6358 641.2 17.0691 1233.73 14.6948 1886.6 12.5128 2599.83
53 90 1 87.4174 51.766 52.5589 108.626 17.7004 621.942 15.3841 1192.84 13.242 1821.33 11.274 2507.39
53 95 1 80.802 51.5562 48.4194 108.242 16.0367 603.753 13.936 1155.67 11.9936 1763.99 10.2096 2428.72
53 100 1 74.9103 51.3509 44.7532 107.867 14.596 585.839 12.6821 1119.06 10.913 1707.53 9.28846 2351.24
53 105 1 69.638 51.1497 41.4891 107.5 13.3401 568.191 11.5893 1082.99 9.97125 1651.9 8.48585 2274.92
53 110 1 64.8995 50.9524 38.5691 106.91 12.2387 552.564 10.6311 1050.64 9.14561 1601.13 7.78227 2204.04
53 115 1 60.624 50.6788 35.9456 106.015 11.2673 540.16 9.78609 1024.11 8.41768 1557.87 7.16204 2141.44
53 120 1 56.7522 50.2602 33.5792 105.137 10.4062 527.94 9.03721 997.977 7.77264 1515.25 6.61251 2079.75
53 125 1 53.2344 49.8491 31.4369 104.274 9.63946 516.382 8.37039 974.15 7.19835 1477.58 6.12331 2026.67
53 130 1 50.0284 49.4451 29.491 103.426 8.95364 505.478 7.77406 952.614 6.68483 1444.83 5.68593 1982.13
53 135 1 47.0982 49.048 27.718 102.593 8.33779 494.732 7.23863 931.385 6.2238 1412.55 5.29331 1938.24
53 140 1 44.4129 48.6576 26.0978 101.773 7.7827 484.138 6.75608 910.457 5.80836 1380.73 4.93954 1894.96
53 145 1 41.9459 48.2736 24.6133 100.967 7.28065 473.693 6.31968 889.822 5.43269 1349.35 4.61967 1852.29
53 150 1 39.6803 47.8959 23.2527 100.175 6.82508 463.393 5.92374 869.472 5.09188 1318.41 4.32951 1810.21
53 155 1 37.6271 47.5241 22.0188 99.3722 6.41046 454.209 5.5634 851.086 4.78175 1290 4.0655 1770.96
53 160 1 35.7211 47.1581 20.8766 98.5474 6.03201 447.261 5.23454 836.594 4.49873 1266.55 3.82459 1737.12
53 165 1 33.9489 46.7861 19.8173 97.7361 5.68566 440.41 4.9336 822.303 4.23977 1243.41 3.60417 1703.74
53 170 1 32.2985 46.4162 18.8332 96.9377 5.36788 433.656 4.65751 808.208 4.00221 1220.6 3.40199 1670.82
53 175 1 30.7595 46.0522 17.9176 96.1521 5.07564 426.994 4.40363 794.306 3.78378 1198.09 3.2161 1638.34
53 180 1 29.3223 45.694 17.0643 95.3787 4.80626 420.896 4.16963 782.48 3.58247 1180.13 3.04479 1613.84
53 185 1 27.9785 45.3413 16.268 94.6173 4.55744 414.941 3.9535 771.053 3.39655 1162.95 2.88659 1590.64
53 190 1 26.7202 44.9941 15.5237 93.8676 4.32714 409.067 3.75347 759.78 3.22449 1146.01 2.7402 1567.74
53 195 1 25.5407 44.6522 14.8272 93.1292 4.11357 403.272 3.56799 748.657 3.06496 1129.29 2.60448 1545.16
53 200 1 24.4338 44.3155 14.1745 92.4019 3.91517 397.554 3.39569 737.682 2.91677 1112.79 2.47841 1522.87
53 205 1 23.3937 43.9838 13.5621 91.6854 3.73052 391.911 3.23535 726.851 2.77889 1096.5 2.36111 1500.87
53 210 1 22.4153 43.657 12.9869 90.9794 3.5584 386.343 3.0859 716.161 2.65037 1080.43 2.25179 1479.16
53 215 1 21.4941 43.335 12.4459 90.2837 3.3977 380.847 2.94638 705.609 2.53039 1064.57 2.14975 1457.73
53 220 1 20.6258 43.0176 11.9366 89.598 3.24744 375.421 2.81592 695.193 2.41822 1048.91 2.05435 1436.58
53 225 1 19.8065 42.7049 11.4566 88.9507 3.10674 370.319 2.69377 685.323 2.3132 1033.96 1.96503 1416.24
53 230 1 19.0329 42.3965 11.0038 88.3998 2.9748 366.782 2.57924 678.089 2.21474 1022.32 1.88129 1399.47
53 235 1 18.3015 42.0925 10.5762 87.8571 2.85093 363.292 2.47171 670.949 2.1223 1010.83 1.80269 1382.92
53 240 1 17.6096 41.8264 10.172 87.3225 2.73447 359.849 2.37063 663.901 2.0354 999.48 1.7288 1366.59
53 245 1 16.9543 41.5864 9.7896 86.7958 2.62486 356.45 2.27549 656.944 1.95363 988.279 1.65926 1350.45
53 250 1 16.3334 41.3499 9.42747 86.2768 2.52156 353.095 2.18584 650.076 1.87657 977.219 1.59375 1334.53
53 255 1 15.7444 41.1169 9.08425 85.7653 2.42412 349.784 2.10127 643.295 1.80388 966.299 1.53195 1318.8
53 260 1 15.1853 40.8873 8.75869 85.2612 2.33208 346.514 2.02141 636.599 1.73524 955.514 1.47359 1303.26
53 265 1 14.6542 40.661 8.44963 84.7642 2.24508 343.519 1.94591 630.914 1.67036 946.949 1.41843 1291.62
53 270 1 14.1493 40.4379 8.156 84.2743 2.16274 340.594 1.87446 625.433 1.60896 938.789 1.36624 1280.66
53 275 1 13.6689 40.218 7.87683 83.7913 2.08474 337.707 1.80679 620.021 1.55081 930.733 1.31681 1269.84
53 280 1 13.2116 40.0013 7.61119 83.315 2.01079 334.856 1.74262 614.677 1.49567 922.777 1.26994 1259.16
53 285 1 12.7759 39.7876 7.35827 82.8454 1.94062 332.041 1.68174 609.399 1.44336 914.921 1.22548 1248.61
53 290 1 12.3606 39.5768 7.11727 82.3822 1.87396 329.26 1.62391 604.187 1.39367 907.161 1.18325 1238.18
53 295 1 11.9644 39.369 6.88749 81.9253 1.81059 326.515 1.56894 599.038 1.34644 899.497 1.14311 1227.89
53 300 1 11.5862 39.1641 6.66826 81.4747 1.75031 323.802 1.51664 593.953 1.30151 891.926 1.10492 1217.72
53 305 1 11.225 38.9619 6.45895 81.0301 1.69291 321.124 1.46685 588.929 1.25874 884.447 1.06857 1207.68
