zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
44 50 1 117.181 113.379 71.03 241.255 24.8795 1504.2 21.5484 2937.13 18.4836 4540.05 15.6852 6312.95
44 55 1 102.725 113.312 61.8459 240.082 20.9663 1430.36 18.1534 2777.66 15.5666 4281.98 13.2058 5943.32
44 60 1 90.8224 112.648 54.3649 238.943 17.9075 1360.26 15.5006 2630.77 13.2881 4050.5 11.2699 5619.42
44 65 1 80.8847 111.999 48.1776 237.831 15.4705 1291.31 13.3879 2486.31 11.4741 3822.84 9.72915 5300.88
44 70 1 72.4908 111.361 42.994 235.663 13.4972 1232.54 11.6776 2360.48 10.0061 3619.5 8.48258 5009.57
44 75 1 65.3304 110.069 38.6036 232.42 11.8768 1186.86 10.2736 2266.06 8.80122 3470.04 7.45971 4798.79
44 80 1 59.4137 108.561 34.9717 229.237 10.5297 1142.86 9.10664 2176.96 7.80007 3331.54 6.60999 4606.6
44 85 1 54.2773 107.079 31.8375 226.11 9.39776 1099.55 8.12629 2089.24 6.95917 3195.2 5.89643 4417.41
44 90 1 49.7456 105.621 29.0915 223.037 8.43745 1056.9 7.29474 2002.87 6.24606 3060.94 5.29141 4231.11
44 95 1 45.7293 104.188 26.6725 219.915 7.61576 1018.8 6.58335 1924.56 5.6361 2937.17 4.774 4056.66
44 100 1 42.1548 102.757 24.5311 216.613 6.90725 990.196 5.97006 1864.4 5.11033 2839.23 4.32808 3914.68
44 105 1 38.9614 101.269 22.6267 213.366 6.29208 963.922 5.43764 1812.74 4.65398 2759.82 3.94108 3805.16
44 110 1 36.0981 99.8065 20.9263 210.172 5.75457 938.042 4.97251 1761.85 4.25535 2681.6 3.60309 3697.28
44 115 1 33.522 98.3673 19.4021 207.029 5.2822 912.546 4.5638 1711.71 3.90513 2604.52 3.30618 3590.98
44 120 1 31.1973 96.9509 18.0311 203.936 4.86488 887.421 4.20277 1662.3 3.59581 2528.57 3.04398 3486.23
44 125 1 29.093 95.5565 16.7937 200.892 4.4944 862.66 3.88231 1613.6 3.32127 2453.71 2.81129 3382.99
44 130 1 27.183 94.1834 15.6735 197.894 4.16404 838.25 3.59657 1565.59 3.07651 2379.9 2.60387 3281.2
44 135 1 25.4448 92.8309 14.6565 195.237 3.86821 819.543 3.34074 1527.22 2.8574 2318.28 2.41819 3192.71
44 140 1 23.8591 91.5098 13.7307 192.758 3.60229 803.411 3.11079 1493.69 2.66047 2263.61 2.25134 3113.15
44 145 1 22.409 90.4108 12.8857 190.317 3.36239 788.738 2.90337 1465.55 2.48286 2220.76 2.10086 3054.37
44 150 1 21.0799 89.3286 12.1126 187.914 3.14525 774.275 2.71564 1437.81 2.32212 2178.53 1.96469 2996.42
44 155 1 19.8593 88.2629 11.4037 185.547 2.94808 760.015 2.5452 1410.46 2.1762 2136.88 1.84109 2939.28
44 160 1 18.736 87.2131 10.7522 183.215 2.76853 745.953 2.38999 1383.48 2.04333 2095.81 1.72855 2882.92
44 165 1 17.7001 86.1789 10.1524 180.917 2.60456 732.086 2.24828 1356.88 1.92203 2055.3 1.62581 2827.35
44 170 1 16.7433 85.1598 9.59887 178.653 2.45444 718.408 2.11854 1330.64 1.81098 2015.34 1.53177 2772.53
44 175 1 15.8578 84.1554 9.08725 176.421 2.31666 704.916 1.99947 1304.75 1.70908 1975.93 1.44548 2718.44
44 180 1 15.0371 83.1655 8.61349 174.221 2.18991 691.605 1.88994 1279.21 1.61535 1937.03 1.36612 2665.08
44 185 1 14.2751 82.1895 8.17405 172.052 2.07305 678.471 1.78897 1254.01 1.52895 1898.66 1.29297 2612.43
44 190 1 13.5665 81.2273 7.76578 169.951 1.96509 666.003 1.6957 1229.95 1.44913 1861.8 1.2254 2561.54
44 195 1 12.9066 80.2784 7.38589 168.396 1.86515 657.472 1.60936 1212.31 1.37526 1832.92 1.16287 2519.28
44 200 1 12.2913 79.3426 7.03187 166.864 1.77247 649.057 1.52929 1194.91 1.30677 1804.41 1.10488 2477.58
44 205 1 11.7166 78.5459 6.7015 165.353 1.68635 641.127 1.45491 1179.23 1.24313 1779.65 1.05102 2442.4
44 210 1 11.1793 77.8838 6.39277 163.864 1.60621 633.515 1.38569 1164.6 1.18392 1757.11 1.0009 2411.05
44 215 1 10.6763 77.2312 6.10389 162.396 1.53151 626.004 1.32117 1150.16 1.12873 1734.86 0.954195 2380.11
