zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
85 50 1 1456.77 2.35872 858.626 5.00344 260.483 152.293 227.535 319.75 196.709 507.375 168.005 715.167
85 55 1 1237.25 2.68356 732.048 5.6689 226.844 151.826 198.099 317.013 171.224 501.23 146.219 704.476
85 60 1 1068.58 2.96668 634.067 6.25378 199.551 149.759 174.224 311.643 150.558 491.906 128.555 690.549
85 65 1 935.526 3.3952 556.283 7.12837 177.04 147.711 154.534 306.012 133.516 482.033 113.988 675.772
85 70 1 828.298 3.64781 493.273 7.6694 158.249 145.37 138.103 300.067 119.299 471.761 101.838 660.451
85 75 1 740.308 3.90665 441.345 8.19809 142.382 143.091 124.233 294.273 107.301 461.744 91.5868 645.505
85 80 1 666.988 4.11741 397.918 8.60002 128.849 140.511 112.406 288.09 97.0726 451.335 82.8488 630.248
85 85 1 605.073 4.30546 361.134 9.00023 117.194 137.882 102.222 281.872 88.2659 440.969 75.3254 615.174
85 90 1 552.187 4.49218 329.632 9.3971 107.076 135.407 93.3819 276.057 80.621 431.345 68.794 601.273
85 95 1 506.571 4.67713 302.406 9.78987 98.2414 132.989 85.664 270.372 73.9483 421.938 63.0941 587.687
85 100 1 466.878 4.86007 278.677 10.1782 90.4772 130.623 78.8831 264.803 68.0867 412.719 58.088 574.37
85 105 1 432.068 5.04091 257.841 10.512 83.6147 128.299 72.8908 259.468 62.9078 404.018 53.6656 561.95
85 110 1 401.324 5.17133 239.418 10.7405 77.5126 126.1 67.5629 254.47 58.3032 395.851 49.7334 550.243
85 115 1 374.001 5.27677 223.031 10.9667 72.061 124.085 62.8034 249.82 54.19 388.171 46.2208 539.138
85 120 1 349.585 5.3811 208.379 11.1904 67.1731 122.115 58.5367 245.28 50.5033 380.686 43.0729 528.334
85 125 1 327.656 5.48432 195.214 11.4116 62.7726 120.23 54.6962 241.019 47.1853 373.78 40.2401 518.513
85 130 1 307.868 5.58642 183.332 11.6303 58.7961 118.379 51.2261 236.833 44.1879 366.995 37.6813 508.863
85 135 1 289.937 5.68741 172.563 11.8467 55.189 116.569 48.0787 232.739 41.4693 360.355 35.3608 499.418
85 140 1 273.622 5.78731 162.763 12.0606 51.9044 114.815 45.2129 228.764 38.9939 353.907 33.2475 490.244
85 145 1 258.728 5.88613 153.817 12.2722 48.9074 113.119 42.5982 224.967 36.7357 347.817 31.3199 481.668
85 150 1 245.085 5.98389 145.625 12.4158 46.1648 111.409 40.2058 221.263 34.6698 341.979 29.5566 473.555
85 155 1 232.552 6.04947 138.1 12.535 43.6486 109.864 38.0112 217.869 32.7748 336.551 27.9395 465.909
85 160 1 221.005 6.10398 131.17 12.6532 41.3342 108.466 35.9929 214.739 31.0324 331.471 26.4526 458.662
85 165 1 210.338 6.15803 124.768 12.7704 39.1992 107.104 34.1311 211.683 29.425 326.509 25.0809 451.581
85 170 1 200.458 6.21163 118.842 12.8866 37.2257 105.77 32.4101 208.692 27.9393 321.651 23.8131 444.647
