zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
48 50 1 242.97 77.6948 137.936 165.061 32.9027 1331.5 28.3998 2645.06 24.2405 4105.73 20.4248 5713.53
48 55 1 207.878 78.9227 117.889 166.995 27.9 1255.24 24.0818 2482.06 20.5566 3847.44 17.3244 5351.39
48 60 1 180.028 79.3516 101.999 168.184 23.9701 1183.88 20.691 2328.69 17.6648 3602.61 14.8915 5005.64
48 65 1 157.502 79.5577 89.1643 167.641 20.8268 1124.34 17.9803 2197.32 15.3542 3386.59 12.9487 4692.15
48 70 1 138.976 79.1311 78.6166 166.874 18.2575 1073.12 15.7632 2089.44 13.4628 3215.83 11.3565 4452.3
48 75 1 123.539 78.7139 69.8366 166.124 16.1337 1025.08 13.93 1989.77 11.8983 3060.19 10.0387 4236.34
48 80 1 110.532 78.3052 62.4456 165.392 14.3592 978.754 12.3982 1893.68 10.5908 2910.17 8.93696 4028.23
48 85 1 99.4599 77.9069 56.1595 164.368 12.8591 937.572 11.1029 1807.37 9.48473 2773.75 8.0045 3836.72
48 90 1 89.9574 77.3328 50.7705 162.522 11.5837 904.592 10.0021 1735.87 8.54517 2656.34 7.21278 3666.03
48 95 1 81.7335 76.4721 46.1093 160.71 10.4851 875.181 9.05347 1675.3 7.73488 2561.07 6.52936 3532.48
48 100 1 74.5706 75.6268 42.053 158.932 9.53533 847.043 8.23335 1618.61 7.03444 2473.63 5.93859 3412.1
48 105 1 68.5129 74.7963 38.6108 157.185 8.70872 819.455 7.51965 1563.03 6.42493 2387.9 5.42456 3294.07
48 110 1 63.1334 73.98 35.5588 155.467 7.98416 792.608 6.89404 1508.96 5.8906 2304.53 4.97383 3179.32
48 115 1 58.3322 73.1771 32.8379 153.779 7.34352 767.097 6.34058 1457.69 5.41754 2225.55 4.57441 3070.69
48 120 1 54.0335 72.3908 30.4052 152.031 6.77683 746.427 5.85115 1414.82 4.99936 2157.21 4.22145 2973.59
48 125 1 50.1706 71.6044 28.2218 150.257 6.27302 728.531 5.41611 1376.83 4.62772 2095.16 3.90785 2883.52
48 130 1 46.6878 70.8 26.2554 148.512 5.82296 711.397 5.02751 1341.3 4.29577 2038.23 3.62775 2802.18
48 135 1 43.5378 70.0087 24.4785 146.795 5.41926 695.47 4.67896 1310.02 3.99805 1990.45 3.37654 2736.76
48 140 1 40.6805 69.2302 22.8682 145.106 5.05577 679.82 4.36515 1279.29 3.73002 1943.51 3.15037 2672.49
48 145 1 38.0811 68.4641 21.4039 143.444 4.72675 664.695 4.08103 1249.63 3.48726 1898.24 2.94546 2610.54
48 150 1 35.71 67.7099 20.0689 141.808 4.42778 650.149 3.82277 1221.16 3.26651 1854.83 2.759 2551.18
48 155 1 33.5425 66.9675 18.8492 140.197 4.15594 635.835 3.58797 1193.14 3.06582 1812.12 2.5895 2492.76
