zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
58 50 1 436.079 29.9034 251.519 63.5883 66.9603 704.624 58.1592 1419.27 49.9705 2207.54 42.3942 3069.42
58 55 1 374.623 31.4785 215.944 66.4241 57.2658 669.131 49.7402 1340.51 42.742 2080.55 36.2714 2889.26
58 60 1 325.984 32.562 187.76 68.8369 49.5365 637.577 43.0252 1270.71 36.9732 1968.24 31.3805 2730.16
58 65 1 286.695 33.4325 164.993 70.367 43.2913 610.352 37.6006 1211.77 32.3136 1874.62 27.4303 2598.9
58 70 1 254.392 34.0968 146.276 71.8742 38.16 584.716 33.1429 1156.12 28.4835 1786.09 24.1818 2474.62
58 75 1 227.447 34.6474 130.671 72.7235 33.8946 562.055 29.4376 1106.41 25.2997 1705.78 21.4811 2360.18
58 80 1 204.692 34.9845 117.5 73.5162 30.3078 540.699 26.3215 1059.35 22.622 1629.46 19.2091 2251.05
58 85 1 185.265 35.3175 106.262 74.059 27.2583 522.082 23.6717 1019.88 20.3441 1567.45 17.2754 2164.8
58 90 1 168.53 35.4725 96.5885 74.3138 24.6465 505.839 21.4023 985.592 18.3931 1513.57 15.6189 2089.79
58 95 1 154 35.5654 88.1971 74.567 22.3946 489.923 19.4459 951.994 16.7115 1460.78 14.1913 2016.28
58 100 1 141.291 35.6582 80.8654 74.5799 20.4393 475.27 17.7475 920.838 15.2518 1411.28 12.9524 1946.6
58 105 1 130.106 35.6162 74.4185 74.3412 18.7307 462.739 16.2636 893.591 13.9768 1366.9 11.8704 1882.65
58 110 1 120.204 35.4926 68.7163 74.1087 17.2283 450.459 14.959 866.888 12.8559 1323.4 10.9192 1819.98
58 115 1 111.388 35.3719 63.6416 73.882 15.8955 439.143 13.8011 842.788 11.8605 1284.82 10.0738 1765.23
58 120 1 103.504 35.254 59.1076 73.6609 14.7108 428.64 12.7719 821.438 10.9758 1252.05 9.32242 1720.49
58 125 1 96.4255 35.1387 55.0396 73.4448 13.6537 418.324 11.8537 800.465 10.1864 1219.87 8.65204 1676.54
58 130 1 90.0439 35.0259 51.3751 73.2337 12.7063 408.189 11.0308 779.861 9.47917 1188.25 8.05141 1633.36
58 135 1 84.2685 34.9155 48.0606 73.0272 11.8526 398.384 10.2892 759.94 8.84157 1157.69 7.50976 1591.65
58 140 1 79.0251 34.8077 45.0533 72.7036 11.0814 389.44 9.61924 741.647 8.26559 1129.32 7.02045 1552.47
58 145 1 74.2504 34.6847 42.3167 72.2432 10.383 382.495 9.01268 726.909 7.74421 1105.48 6.57763 1518.22
