zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
58 50 1 242.095 29.7652 155.747 63.2944 69.3987 627.445 60.5536 1256.65 52.3241 1950.91 44.7099 2710.23
58 55 1 215.407 31.3408 137.295 66.1336 59.1822 601.762 51.6212 1198.67 44.5901 1856.85 38.089 2576.31
58 60 1 193.277 32.4271 122.181 68.5516 51.0846 577.7 44.5443 1144.73 38.4654 1769.64 32.8478 2452.43
58 65 1 174.643 33.3005 109.598 70.0892 44.5531 556.949 38.8383 1099.42 33.5289 1697.5 28.6248 2351.19
58 70 1 158.751 33.9687 98.978 71.6041 39.2052 536.734 34.1679 1055.19 29.4897 1626.97 25.1706 2252.07
58 75 1 145.05 34.5228 89.9095 72.462 34.7694 518.676 30.2952 1015.26 26.1414 1562.22 22.3081 2159.55
58 80 1 133.129 34.8641 82.0884 73.2631 31.0481 501.295 27.0472 976.668 23.334 1499.38 19.9086 2069.44
58 85 1 122.674 35.2009 75.2842 73.8146 27.8949 485.779 24.2957 943.69 20.9564 1447.55 17.8768 1997.36
58 90 1 113.441 35.3598 69.3199 74.0777 25.1991 472.13 21.944 914.842 18.9246 1402.21 16.141 1934.25
58 95 1 105.237 35.4567 64.0565 74.339 22.876 458.69 19.9177 886.434 17.1744 1357.57 14.646 1872.1
58 100 1 97.9082 35.553 59.384 74.3598 20.8597 446.349 18.1594 860.16 15.6559 1315.79 13.3492 1813.25
58 105 1 91.3294 35.514 55.2137 74.1279 19.0981 435.944 16.6235 837.461 14.3297 1278.68 12.2168 1759.6
58 110 1 85.3978 35.3936 51.4739 73.9021 17.55 425.696 15.274 815.101 13.1647 1242.12 11.2222 1706.74
58 115 1 80.0287 35.2761 48.1054 73.6819 16.1821 415.876 14.0817 794.173 12.1356 1208.57 10.3437 1659.07
58 120 1 75.1511 35.1613 45.0593 73.4672 14.9675 406.714 13.0232 775.602 11.222 1180.13 9.56402 1620.3
58 125 1 70.7054 35.0491 42.2947 73.2575 13.8839 397.685 12.079 757.3 10.4073 1152.1 8.86875 1582.09
