zp energy zt 0->1 1->0 1->2 2->1 2->3 3->2 3->4 4->3 4->5 5->4 5->6 6->5
93 50 1 1990.95 1.09334 1173.74 2.31618 356.538 97.5181 311.345 207.565 269.116 332.457 229.85 472.195
93 55 1 1680 1.26668 995.974 2.67827 311.946 99.0007 272.316 209.651 235.31 334.63 200.93 473.936
93 60 1 1443.37 1.43688 859.488 3.03349 275.601 98.6998 240.516 208.33 207.775 331.925 177.379 469.483
93 65 1 1258.3 1.60361 751.909 3.38145 245.521 98.3374 214.206 206.721 185.002 328.532 157.907 463.771
93 70 1 1110.23 1.767 665.263 3.72248 220.299 98.0018 192.153 205.181 165.918 325.261 141.594 458.241
93 75 1 989.496 1.91489 594.204 4.0144 198.911 97.4678 173.458 203.354 149.745 321.674 127.77 452.426
93 80 1 889.458 2.21706 535.025 4.61702 180.591 96.5709 157.449 200.663 135.897 316.895 115.937 445.265
93 85 1 805.407 2.33135 485.083 4.86638 164.758 95.3531 143.614 197.63 123.933 311.697 105.714 437.555
93 90 1 733.951 2.45436 442.465 5.12881 150.979 94.1825 131.579 194.684 113.527 306.632 96.8236 430.028
93 95 1 672.562 2.58036 405.734 5.39546 138.906 93.049 121.035 191.812 104.413 301.685 89.0392 422.667
93 100 1 619.336 2.70714 373.799 5.62584 128.262 91.9106 111.742 188.972 96.3816 296.811 82.1805 415.427
93 105 1 572.807 2.7995 345.816 5.81635 118.825 90.7046 103.504 186.059 89.2638 291.878 76.103 408.164
93 110 1 531.836 2.88912 321.126 6.00626 110.415 89.4543 96.1652 183.093 82.9234 286.922 70.6902 400.941
93 115 1 495.514 2.97832 299.196 6.19501 102.878 88.2784 89.5872 180.321 77.2406 282.323 65.8382 394.284
93 120 1 463.13 3.0669 279.616 6.38228 96.101 87.1284 83.6741 177.606 72.1331 277.816 61.478 387.757
93 125 1 434.104 3.15474 262.044 6.56787 89.9846 86.0007 78.3383 174.941 67.525 273.389 57.5447 381.344
93 130 1 407.96 3.24179 246.202 6.75167 84.4441 84.8967 73.5058 172.333 63.3523 269.06 53.9836 375.078
93 135 1 384.308 3.32799 231.858 6.93362 79.4082 83.8373 69.1141 169.866 59.5608 265.021 50.7483 369.3
93 140 1 362.822 3.41333 218.82 7.07909 74.8166 82.763 65.1105 167.409 56.1049 261.017 47.7997 363.587
93 145 1 343.232 3.47521 206.925 7.18336 70.6175 81.6697 61.4497 164.957 52.9452 257.046 45.1041 357.935
93 150 1 325.304 3.52372 196.034 7.28681 66.7635 80.7432 58.0897 162.806 50.0452 253.476 42.6299 352.753
93 155 1 308.848 3.57185 186.034 7.38939 63.2205 79.8506 55.0014 160.723 47.38 250.008 40.3563 347.704
93 160 1 293.7 3.61959 176.828 7.49109 59.9556 79.0004 52.1558 158.784 44.9246 246.842 38.2619 343.175
93 165 1 279.716 3.66693 168.328 7.59191 56.94 78.1643 49.5279 156.876 42.6573 243.727 36.3281 338.717
93 170 1 266.774 3.71387 160.461 7.69185 54.1486 77.3419 47.0957 154.998 40.5591 240.66 34.5388 334.328
93 175 1 254.767 3.76042 153.163 7.79092 51.5596 76.5328 44.8401 153.149 38.6134 237.64 32.8797 330.005
93 180 1 243.603 3.80657 146.379 7.88911 49.1536 75.7367 42.7441 151.329 36.8057 234.667 31.3384 325.749
93 185 1 233.201 3.85233 140.057 7.98644 46.9128 74.958 40.7922 149.547 35.1223 231.754 29.9031 321.578
93 190 1 223.488 3.89769 134.155 8.08292 44.8221 74.2149 38.9711 147.876 33.5518 229.065 28.564 317.784
93 195 1 214.403 3.94268 128.636 8.17857 42.8691 73.4906 37.2702 146.259 32.085 226.485 27.3135 314.167
93 200 1 205.89 3.98728 123.466 8.26679 41.0419 72.7707 35.679 144.66 30.713 223.935 26.1439 310.596
93 205 1 197.901 4.03151 118.615 8.32002 39.3298 72.0274 34.1881 143.05 29.4276 221.388 25.0483 307.041
93 210 1 190.391 4.05898 114.057 8.37295 37.7232 71.295 32.7893 141.463 28.2217 218.877 24.0204 303.537
93 215 1 183.321 4.08347 109.767 8.42559 36.2136 70.6609 31.475 140.049 27.0888 216.589 23.0549 300.281
93 220 1 176.655 4.10783 105.724 8.47793 34.7933 70.083 30.2386 138.734 26.0231 214.432 22.1468 297.177
93 225 1 170.363 4.13206 101.909 8.52996 33.4553 69.5136 29.074 137.439 25.0193 212.307 21.2914 294.116
93 230 1 164.415 4.15616 98.3038 8.5817 32.1926 68.9801 27.9748 136.262 24.072 210.426 20.4842 291.473
93 235 1 158.786 4.18013 94.8931 8.63313 31.0002 68.465 26.937 135.143 23.1776 208.667 19.722 289.038
93 240 1 153.452 4.20398 91.6628 8.68427 29.8731 67.9573 25.9561 134.04 22.3323 206.933 19.0018 286.635
93 245 1 148.394 4.22769 88.6 8.72749 28.8065 67.4492 25.0278 132.945 21.5325 205.215 18.3203 284.258
93 250 1 143.59 4.25127 85.6931 8.75829 27.7961 66.9361 24.1486 131.853 20.7749 203.508 17.6749 281.902
93 255 1 139.025 4.26838 82.9313 8.78902 26.838 66.4301 23.315 130.775 20.0567 201.824 17.0631 279.577
93 260 1 134.681 4.28255 80.3048 8.8197 25.9287 65.9409 22.5238 129.729 19.3751 200.184 16.4825 277.305
93 265 1 130.544 4.29669 77.8047 8.85031 25.0649 65.5287 21.7723 128.817 18.7277 198.715 15.9311 275.224
93 270 1 126.602 4.31082 75.4227 8.88085 24.2435 65.1223 21.0578 127.918 18.1123 197.267 15.4069 273.17
93 275 1 122.841 4.32492 73.1513 8.91132 23.4618 64.7232 20.3778 127.034 17.5265 195.843 14.908 271.151
93 280 1 119.25 4.33899 70.9834 8.94172 22.717 64.3311 19.73 126.165 16.9685 194.443 14.4327 269.165
